Time,ca_N-1,ca_0
0,0.0,0.75
0.32000000000000023,0.0,0.0
0.6400000000000005,1.927106694569181e-283,0.0
0.9600000000000007,1.2320712470516003e-212,0.0
1.2809999999999697,1.016498843821363e-158,0.0
1.6009999999999345,2.460107739251613e-115,0.0
1.9209999999998992,6.132284294369562e-79,0.0
2.240999999999864,1.3617254393799156e-47,0.0
2.560999999999829,4.4940105820670126e-20,0.0
2.8809999999997937,146215.1038783625,0.0
3.2009999999997585,1.780445124851284e+27,0.0
3.5209999999997232,2.153582232836782e+47,0.0
3.840999999999688,5.400561297921352e+65,0.0
4.160999999999724,4.956575860656633e+82,0.0
4.480999999999831,2.6058489595526413e+98,0.0
4.800999999999938,1.1239738009416734e+113,0.0
5.1200000000000445,4.843856634970538e+126,0.0
5.440000000000151,3.22911346559299e+139,0.0
5.760000000000258,3.676186930063395e+151,0.0
6.080000000000365,8.459943018818292e+162,0.0
6.400000000000472,4.539508278210956e+173,0.0
6.720000000000579,6.41458580179678e+183,0.0
7.040000000000686,2.649095558651852e+193,0.0
7.360000000000793,3.4967620363670464e+202,0.0
7.680000000000899,1.593323502934883e+211,0.0
8.000000000001005,2.6774535960820597e+219,0.0
8.320000000000828,1.7556960946340531e+227,0.0
8.64000000000065,4.712028840393965e+234,0.0
8.960000000000473,5.384217812934109e+241,0.0
9.280000000000296,2.702366989553061e+248,0.0
9.600000000000119,6.092821984907936e+254,0.0
9.92099999999994,6.51466618024928e+260,0.0
10.240999999999763,3.025643442941986e+266,0.0
10.560999999999586,6.2408880528465676e+271,0.0
10.880999999999409,5.37286020854872e+276,0.0
11.200999999999231,1.6314210185676507e+281,0.0
11.520999999999054,7.539530649682018e+284,0.0
11.840999999998877,-9.74213115267166e+288,0.0
12.1609999999987,4.372126793251367e+292,0.0
12.480999999998522,-1.4667210385195075e+296,0.0
12.800999999998345,5.500862235035647e+299,0.0
13.120999999998167,-2.517698363716628e+303,0.0
13.44099999999799,nan,0.0
13.760999999997813,nan,0.0
14.080999999997635,nan,0.0
