Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
15.0,91468762.28037992,151008055.13084924,91501173.41454771,151061010.95965844,89447007.97695163,148005061.54551324
15.5,91417645.4349116,150924536.46552175,91449790.79180345,150977058.04434043,89294422.4085526,147763131.69434717
16.0,91368604.0380983,150844408.82912096,91400452.62266232,150896445.51707622,89141836.84015357,147521201.8431811
16.5,91321553.82247245,150767534.53892484,91353077.56108215,150819040.46776682,88989251.27175455,147279271.99201503
17.0,91276413.94199824,150693781.50241196,91307587.49749759,150744715.27463683,88836665.70335552,147037342.14084896
17.5,91233106.83315462,150623022.99028793,91263907.43013868,150673347.39382508,88684080.1349565,146795412.2896829
18.0,91191558.08165833,150555137.4187273,91221965.34142208,150604819.15734366,88531494.56655747,146553482.43851683
18.5,91151696.29459855,150490008.14045712,91181692.0792369,150539017.57907435,88378908.99815844,146311552.58735076
19.0,91113452.97776288,150427523.24432263,91143021.24294244,150475834.1684834,88226323.42975941,146069622.7361847
19.5,91076762.41794427,150367575.36299124,91105889.07389608,150415164.75174782,88073737.86136039,145827692.88501862
20.0,91041561.57002649,150310061.48846412,91070234.35033408,150356909.29999867,87921152.29296136,145585763.03385255
20.5,91007789.94865426,150254882.79507816,91035998.28643352,150300971.7643985,87768566.72456233,145343833.18268648
21.0,90975389.52430159,150201944.46969467,91003124.43538986,150247259.91778034,87615981.1561633,145101903.3315204
21.5,90944304.62356015,150151155.54878265,90971558.59635036,150195685.20258823,87463395.58776428,144859973.48035434
22.0,90914481.83347605,150102428.76211682,90941248.72505057,150146162.58486745,87310810.01936525,144618043.62918827
22.5,90885869.90977079,150055680.38282186,90912144.8480062,150098610.41406468,87158224.45096622,144376113.7780222
23.0,90858419.68878853,150010830.0835051,90884198.9801193,150052950.28840646,87005638.8825672,144134183.92685613
23.5,90832084.00301862,149967800.79823062,90857365.04556273,150009106.925634,86853053.31416817,143892254.07569006
24.0,90806817.60004793,149926518.59009737,90831598.80181247,149967008.03888133,86700467.74576914,143650324.224524
24.5,90782577.06480408,149886912.524194,90806857.76670271,149926584.21749216,86547882.17737012,143408394.37335792
25.0,90759320.74495551,149848914.54571185,90783101.14838317,149887768.8125789,86395296.60897109,143166464.52219185
25.5,90737008.67934074,149812459.36300695,90760289.77806354,149850497.82713503,86242711.04057206,142924534.67102578
26.0,90715602.52930324,149777484.33540985,90738386.04543374,149814709.81051993,86090125.47217304,142682604.8198597
26.5,90695065.51281452,149743929.3655906,90717353.83665386,149780345.757142,85937539.90377401,142440674.96869364
27.0,90675362.34127185,149711736.79629397,90697158.47481135,149747349.00917292,85784954.33537498,142198745.11752757
27.5,90656459.15886196,149680851.31126744,90677766.66274734,149715665.16313297,85632368.76697595,141956815.2663615
28.0,90638323.48438707,149651219.84021166,90659146.42815794,149685241.9801931,85479783.19857693,141714885.41519544
28.5,90620924.15545252,149622791.46759018,90641267.07087973,149656029.3000461,85327197.6301779,141472955.56402937
29.0,90604231.27492073,149595517.34514165,90624099.1122728,149627978.95820454,85174612.06177887,141231025.7128633
29.5,90588216.1595392,149569350.6079442,90607614.2466178,149601044.70658955,85022026.49337985,140989095.86169723
30.0,90572851.29065415,149544246.2938878,90591785.29444675,149575182.13727906,84869440.92498082,140747166.01053116
30.5,90558110.26692566,149520161.26641622,90576586.15773088,149550348.6092902,84716855.35658179,140505236.1593651
31.0,90543967.75896218,149497054.14040577,90561991.77685137,149526503.17827487,84564269.78818277,140263306.30819902
31.5,90530399.46579742,149474885.2110536,90547978.08928229,149503606.5290125,84411684.21978374,140021376.45703295
32.0,90517382.0731341,149453616.3856532,90534521.98991737,149481620.91058913,84259098.65138471,139779446.60586688
32.5,90504893.21328314,149433211.11813995,90521601.29297547,149460510.07415545,84106513.08298568,139537516.7547008
33.0,90492911.4267295,149413634.3462944,90509194.6954217,149440239.21316132,83953927.51458666,139295586.90353474
33.5,90481416.12525843,149394852.43149498,90497281.74184391,149420774.90596846,83801341.94618763,139053657.05236867
34.0,90470387.55657884,149376833.1009171,90485842.79072686,149402085.0607464,83648756.3777886,138811727.2012026
34.5,90459806.77038315,149359545.392079,90474858.98206817,149384138.86256102,83496170.80938958,138569797.35003653
35.0,90449655.58578509,149342959.59963906,90464312.20628287,149366906.7225683,83343585.24099055,138327867.49887046
35.5,90439916.56007963,149327047.2243534,90454185.07434511,149350360.22922963,83190999.67259152,138085937.6477044
36.0,90430572.95877129,149311780.92410588,90444460.88911806,149334472.1014682,83038414.1041925,137844007.79653832
36.5,90421608.72681938,149297134.46692625,90435123.61782433,149319216.14368933,82885828.53579347,137602077.94537225
37.0,90413008.46105078,149283082.685916,90426157.86561199,149304567.20259035,82733242.96739444,137360148.09420618
37.5,90404757.38369274,149269601.4360043,90417548.8501722,149290501.12568894,82580657.39899541,137118218.2430401
38.0,90396841.31698039,149256667.55245963,90409282.3773669,149276994.72150186,82428071.83059639,136876288.39187405
38.5,90389246.65879513,149244258.811086,90401344.81782614,149264025.72130772,82275486.26219736,136634358.54070798
39.0,90381960.35929224,149232353.8900354,90393723.08447659,149251572.7424315,82122900.69379833,136392428.6895419
39.5,90374969.89847746,149220932.3331704,90386404.61096425,149239615.2529897,81970315.1253993,136150498.83837584
40.0,90368263.26469395,149209974.51491484,90379377.33093564,149228133.5380385,81817729.55700028,135908568.98720977
40.5,90361828.9339827,149199461.606531,90372629.65814331,149217108.66706848,81665143.98860125,135666639.1360437
41.0,90355655.85028107,149189375.54376656,90366150.46734303,149206522.4627931,81512558.42020223,135424709.28487763
41.5,90349733.40642527,149179698.99581483,90359929.07595102,149196357.47117868,81359972.8518032,135182779.43371156
42.0,90344051.42592399,149170415.3355354,90353955.22643095,149186596.9326671,81207387.28340417,134940849.5825455
