Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt,Adams_Bash_Moulton-Ct,Adams_Bash_Moulton-Nt,Analítica - Ct,Analítica - Nt
5.5,92976974.71401015,153472299.80662286,93000954.07500859,153514496.00491154,92346133.77653314,152601728.71766856,92584188.50118451,152831040.201906,93001008.859802,153514499.90403658
6.0,92864625.7170274,153288728.07285613,92890797.22835794,153332986.6204341,92193548.20813411,152359798.8665025,92489859.0544728,152676670.388132,92890826.80057563,153332988.7019639
6.5,92756835.24597609,153112609.5062762,92784569.37370703,153158666.59001794,92040962.63973509,152117869.01533642,92399213.77928469,152528437.79199144,92784585.21813849,153158667.68115753
7.0,92653420.38035104,152943641.64891464,92682343.14449213,152991266.3441612,91888377.07133606,151875939.16417035,92312138.53476459,152386100.55727103,92682351.57578118,152991266.89982414
7.5,92554204.10158174,152781534.21340793,92584072.8172776,152830518.7250451,91735791.50293703,151634009.31300429,92228508.90733433,152249425.3842323,92584077.27296107,152830518.9929642
8.0,92459016.12761754,152626008.66619477,92489657.25129274,152676163.08343506,91583205.934538,151392079.46183822,92148197.02439916,152118187.6503481,92489659.58734947,152676163.197449
8.5,92367692.95695141,152476797.77315193,92398970.95800315,152527947.09810054,91430620.36613898,151150149.61067215,92071075.58661836,151992171.34547937,92398972.16961326,152527947.1300529
9.0,92280077.68718168,152333645.14757285,92311879.37797432,152385627.47470558,91278034.79773995,150908219.75950608,91997020.0836469,151871168.89038506,92311879.99563785,152385627.4629679
9.5,92196019.77482161,152196304.81173804,92228246.33427596,152248970.097332,91125449.22934093,150666289.90834,91925909.79430547,151754980.88127404,92228246.63937083,152248970.06232584
10.0,92115374.78531638,152064540.77487957,92147937.61256532,152117749.91643026,90972863.6609419,150424360.05717394,91857628.19086786,151643415.80448028,92147937.75369295,152117749.86900526
10.5,92038004.14743266,151938126.62786496,92070822.62573361,151991750.71356454,90820278.09254287,150182430.20600787,91792063.0643137,151536289.74355698,92070822.68108521,151991750.65948978
11.0,91963774.91591224,151816845.15421468,91996775.1334518,151870764.81223583,90667692.52414384,149940500.3548418,91729106.50600277,151433426.08804578,91996775.14404407,151870764.75459355
11.5,91892559.54325797,151700487.95687693,91925673.49743506,151754592.76884204,90515106.95574482,149698570.50367573,91668654.81580925,151334655.2484859,91925673.48473252,151754592.70929718
12.0,91824235.66063605,151588855.10014528,91857400.7105991,151643043.06038487,90362521.38734579,149456640.65250966,91610608.37556706,151239814.38000172,91857400.6858169,151643042.9998553
12.5,91758685.86763029,151481754.76611203,91791844.31801,151535931.7768946,90209935.81894676,149214710.8013436,91554871.50789198,151148747.11547303,91791844.28700589,151535931.71590412
13.0,91695797.53051963,151379002.9250694,91728896.28791672,151433082.32227218,90057350.25054774,148972780.95017752,91501352.33041476,151061303.3085871,91728896.2537548,151433082.26113546
13.5,91635462.5887422,151280423.0192927,91668452.86161192,151334325.12514052,89904764.68214871,148730851.09901145,91449962.61050037,150977338.78673196,91668452.8259022,151334325.06406
14.0,91577577.36921607,151185845.65966266,91610414.39622849,151239497.3602618,89752179.11374968,148488921.24784538,91400617.62299293,150896715.11352322,91610414.35982491,151239497.29937857
14.5,91522042.40819888,151095108.33460525,91554685.20732784,151148442.68057397,89599593.54535066,148246991.3966793,91353236.01219441,150819299.36067715,91554685.17069118,151148442.61999413
15.0,91468762.28037992,151008055.13084924,91501173.41454771,151061010.95965844,89447007.97695163,148005061.54551324,91307739.65859498,150744963.8889072,91501173.37793387,151061010.89946717
15.5,91417645.4349116,150924536.46552175,91449790.79180345,150977058.04434043,89294422.4085526,147763131.69434717,91264053.55052236,150673586.1375108,91449790.75536107,150977057.9846094
16.0,91368604.0380983,150844408.82912096,91400452.62266232,150896445.51707622,89141836.84015357,147521201.8431811,91222105.66069902,150605048.4223141,91400452.58648315,150896445.4578675
16.5,91321553.82247245,150767534.53892484,91353077.56108215,150819040.46776682,88989251.27175455,147279271.99201503,91181826.82760781,150539237.7416485,91353077.52522731,150819040.4091352
17.0,91276413.94199824,150693781.50241196,91307587.49749759,150744715.27463683,88836665.70335552,147037342.14084896,91143150.64152434,150476045.59004354,91307587.46201098,150744715.21663097
17.5,91233106.83315462,150623022.99028793,91263907.43013868,150673347.39382508,88684080.1349565,146795412.2896829,91106013.33505636,150415367.77933067,91263907.39505416,150673347.3364885
18.0,91191558.08165833,150555137.4187273,91221965.34142208,150604819.15734366,88531494.56655747,146553482.43851683,91070353.67802392,150357104.26686397,91221965.30676708,150604819.10071513
18.5,91151696.29459855,150490008.14045712,91181692.0792369,150539017.57907435,88378908.99815844,146311552.58735076,91036112.87651479,150301158.99057537,91181692.04503445,150539017.52318844
19.0,91113452.97776288,150427523.24432263,91143021.24294244,150475834.1684834,88226323.42975941,146069622.7361847,91003234.47595243,150247439.7105924,91143021.20921226,150475834.11337072
19.5,91076762.41794427,150367575.36299124,91105889.07389608,150415164.75174782,88073737.86136039,145827692.88501862,90971664.26801872,150195857.85715774,91105889.04065515,150415164.69743532
20.0,91041561.57002649,150310061.48846412,91070234.35033408,150356909.29999867,87921152.29296136,145585763.03385255,90941350.20127912,150146328.3845998,91070234.31759708,150356909.24651
20.5,91007789.94865426,150254882.79507816,91035998.28643352,150300971.7643985,87768566.72456233,145343833.18268648,90912242.29536341,150098769.6311135,91035998.25421311,150300971.71175405
21.0,90975389.52430159,150201944.46969467,91003124.43538986,150247259.91778034,87615981.1561633,145101903.3315204,90884292.55856085,150053103.18412027,91003124.40369679,150247259.86599767
21.5,90944304.62356015,150151155.54878265,90971558.59635036,150195685.20258823,87463395.58776428,144859973.48035434,90857454.90869382,150009253.7509852,90971558.56519373,150195685.15168202
22.0,90914481.83347605,150102428.76211682,90941248.72505057,150146162.58486745,87310810.01936525,144618043.62918827,90831685.09713992,149967149.03487816,90941248.69443785,150146162.53484997
22.5,90885869.90977079,150055680.38282186,90912144.8480062,150098610.41406468,87158224.45096622,144376113.7780222,90806940.63587704,149926719.61557433,90912144.81794345,150098610.3649458
23.0,90858419.68878853,150010830.0835051,90884198.9801193,150052950.28840646,87005638.8825672,144134183.92685613,90783180.72743109,149887898.8349974,90884198.95061123,150052950.24019387
23.5,90832084.00301862,149967800.79823062,90857365.04556273,150009106.925634,86853053.31416817,143892254.07569006,90760366.19761117,149850622.68731695,90857365.01661278,150009106.87833333
